IPV6 测试,#genre#
江苏卫视高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225702/2/index.m3u8
江苏卫视高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225743/2/index.m3u8
广东卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001032/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
黑龙江卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001031/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
深圳卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001030/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
北京卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001029/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
湖北卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001027/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
湖南卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001026/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
湖南卫视高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225490/2/index.m3u8
湖南卫视高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225745/2/index.m3u8
浙江卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001023/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
河北卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001229/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
吉林卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001225/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
广西卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001224/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
云南卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001223/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
河南卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001222/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
东南卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001201/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
山东卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001028/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
甘肃卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001298/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
四川卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001130/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
四川卫视高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225487/2/index.m3u8
重庆卫视高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001129/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
重庆卫视高清,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225612/index.m3u8?fmt=ts2hls

IPV6 教育,#genre#
CETV1,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001020/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CETV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225917/2/index.m3u8
CETV1,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225869/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
CETV2,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227206/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
CETV2,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221227206/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
CETV3,http://[2409:8087:5e01:34::38]:6610/ZTE_CMS/00000001000000060000000000000221/index.m3u8?
CETV4,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001348/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CETV4,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225969/2/index.m3u8


IPV6 少儿,#genre#
卡酷少儿高清,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001245/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
空中课堂_一年级,http://liveplay-kk.rtxapp.com/live/program/live/kkyinj/1300000/mnf.m3u8
空中课堂_二年级,http://liveplay-kk.rtxapp.com/live/program/live/kkernj/1300000/mnf.m3u8
空中课堂_三年级,http://liveplay-kk.rtxapp.com/live/program/live/kksannj/1300000/mnf.m3u8
空中课堂_四年级,http://liveplay-kk.rtxapp.com/live/program/live/kksinj/1300000/mnf.m3u8
空中课堂_五年级,http://liveplay-kk.rtxapp.com/live/program/live/kkwunj/1300000/mnf.m3u8
空中课堂_六年级,http://liveplay-kk.rtxapp.com/live/program/live/kkliunj/1300000/mnf.m3u8
空中课堂_初一,http://liveplay-kk.rtxapp.com/live/program/live/kkqinj/1300000/mnf.m3u8
空中课堂_初二,http://liveplay-kk.rtxapp.com/live/program/live/kkbanj/1300000/mnf.m3u8
空中课堂_高一,http://liveplay-kk.rtxapp.com/live/program/live/kkgaoyinj/1300000/mnf.m3u8
空中课堂_高二,http://liveplay-kk.rtxapp.com/live/program/live/kkgaoernj/1300000/mnf.m3u8
空中课堂_高三,http://liveplay-kk.rtxapp.com/live/program/live/kkgaosannj/1300000/mnf.m3u8

影视综合,#genre#
贝爷影厅1,http://epg.112114.xyz/douyu/252802
贝爷影厅2,http://epg.112114.xyz/douyu/36337
变种人电影,http://epg.112114.xyz/douyu/9651304
冰冰经典电影,http://epg.112114.xyz/douyu/74374
华语电影,http://epg.112114.xyz/douyu/3928
华语动作电影,http://epg.112114.xyz/douyu/1504768
华语经典,http://epg.112114.xyz/douyu/434971
怀旧90,http://epg.112114.xyz/douyu/9275635
霍格影片,http://epg.112114.xyz/douyu/8814650
精品电影,http://39.135.138.60:18890/PLTV/88888910/224/3221225718/index.m3u8
可乐电影,http://epg.112114.xyz/douyu/20415
林林影院,http://epg.112114.xyz/douyu/9652323
林正英电影1,http://epg.112114.xyz/douyu/218859
林正英电影2,http://epg.112114.xyz/douyu/7356023
刘德华电影1,http://epg.112114.xyz/douyu/2516864
刘德华电影2,http://epg.112114.xyz/douyu/8985415
麓山迷踪,http://epg.112114.xyz/douyu/4505431
漫威电影,http://epg.112114.xyz/douyu/4282654
奶瓶科幻片,http://epg.112114.xyz/douyu/6655271
女神金电影,http://epg.112114.xyz/douyu/747764
特辑影院,http://epg.112114.xyz/douyu/3637778
喜剧经典,http://epg.112114.xyz/douyu/9650887
小九电影,http://epg.112114.xyz/douyu/7136517
周星驰电影,http://epg.112114.xyz/douyu/3990812
周星驰电影,http://epg.112114.xyz/douyu/3990812
